JUDUL,KATEGORI,tokens,stemmed
ekonomi ri diprediksi betah di  masih berat loncat ke ,Ekonomi,"['ekonomi', 'ri', 'diprediksi', 'betah', 'berat', 'loncat']",ekonomi ri prediksi betah berat loncat
sri mulyani bukabukaan cara keluarkan ri dari kelompok negara ekonomi rapuh,Ekonomi,"['sri', 'mulyani', 'bukabukaan', 'keluarkan', 'ri', 'kelompok', 'negara', 'ekonomi', 'rapuh']",sri mulyani bukabukaan keluar ri kelompok negara ekonomi rapuh
kadin prediksi perputaran uang saat nataru mencapai rp  triliun,Ekonomi,"['kadin', 'prediksi', 'perputaran', 'uang', 'nataru', 'mencapai', 'rp', 'triliun']",kadin prediksi putar uang nataru capai rp triliun
mengapa ribu sering disingkat jadi k begini awal mulanya,Ekonomi,"['ribu', 'disingkat', 'k']",ribu singkat k
komisi xi tekankan pentingnya stabilitas ekonomi saat libur akhir tahun,Ekonomi,"['komisi', 'xi', 'tekankan', 'stabilitas', 'ekonomi', 'libur']",komisi xi tekan stabilitas ekonomi libur
diksi khusus barang mewah disorot di aksi tolak ppn ,Ekonomi,"['diksi', 'khusus', 'barang', 'mewah', 'disorot', 'aksi', 'tolak', 'ppn']",diksi khusus barang mewah sorot aksi tolak ppn
bertemu presiden mesir prabowo mau ri ikut zona ekonomi terusan suez,Ekonomi,"['bertemu', 'presiden', 'mesir', 'prabowo', 'ri', 'zona', 'ekonomi', 'terusan', 'suez']",temu presiden mesir prabowo ri zona ekonomi terus suez
kurangi kemiskinan cak imin ingin potensi wisata di wonosobo digenjot,Ekonomi,"['kurangi', 'kemiskinan', 'cak', 'imin', 'potensi', 'wisata', 'wonosobo', 'digenjot']",kurang miskin cak imin potensi wisata wonosobo genjot
akhir tekateki ppn ,Ekonomi,"['tekateki', 'ppn']",tekateki ppn
video ppn  berlaku  januari  bahan pokok bebas pajak,Ekonomi,"['video', 'ppn', 'berlaku', 'januari', 'bahan', 'pokok', 'bebas', 'pajak']",video ppn laku januari bahan pokok bebas pajak
melihat kondisi ekonomi korsel yang presidennya dimakzulkan,Ekonomi,"['kondisi', 'ekonomi', 'korsel', 'presidennya', 'dimakzulkan']",kondisi ekonomi korsel presiden makzul
apa itu pasar bebas begini pengertian dan ciricirinya,Ekonomi,"['pasar', 'bebas', 'pengertian', 'ciricirinya']",pasar bebas erti ciricirinya
pelaku ekonomi pengertian peran dan contoh kegiatannya,Ekonomi,"['pelaku', 'ekonomi', 'pengertian', 'peran', 'contoh', 'kegiatannya']",laku ekonomi erti peran contoh giat
apakah indonesia akan berhasil dapat bonus demografi ini kata pakar ui,Ekonomi,"['indonesia', 'berhasil', 'bonus', 'demografi', 'pakar', 'ui']",indonesia hasil bonus demografi pakar ui
kenaikan ppn jadi  dipastikan berlaku januari ,Ekonomi,"['kenaikan', 'ppn', 'berlaku', 'januari']",naik ppn laku januari
naik  persen ini perkiraan besaran ump di  provinsi,Ekonomi,"['persen', 'perkiraan', 'besaran', 'ump', 'provinsi']",persen kira besar ump provinsi
pakar ekonomi ui sebut penduduk ri akan diisi oleh  generasi apa saja,Ekonomi,"['pakar', 'ekonomi', 'ui', 'penduduk', 'ri', 'diisi', 'generasi']",pakar ekonomi ui duduk ri isi generasi
kemenkeu pastikan ppn naik jadi  tetap berlaku januari ,Ekonomi,"['kemenkeu', 'pastikan', 'ppn', 'berlaku', 'januari']",kemenkeu pasti ppn laku januari
minta anggaran rp  m zulhas saya belum punya kantor masih numpang,Ekonomi,"['anggaran', 'rp', 'm', 'zulhas', 'kantor', 'numpang']",anggar rp m zulhas kantor numpang
istana ungkap alasan prabowo kunjungan kerja ke chinaas,Ekonomi,"['istana', 'alasan', 'prabowo', 'kunjungan', 'kerja', 'chinaas']",istana alas prabowo kunjung kerja chinaas
penyaluran pupuk subsidi tembus  juta ton,Ekonomi,"['penyaluran', 'pupuk', 'subsidi', 'tembus', 'juta', 'ton']",salur pupuk subsidi tembus juta ton
inflasi hijau pengertian penyebab dampak cara mengatasi dan contohnya,Ekonomi,"['inflasi', 'hijau', 'pengertian', 'penyebab', 'dampak', 'mengatasi', 'contohnya']",inflasi hijau erti sebab dampak atas contoh
video nasihat pakar seusai bitcoin gagal tembus puncak usd  ribu,Ekonomi,"['video', 'nasihat', 'pakar', 'bitcoin', 'gagal', 'tembus', 'puncak', 'usd', 'ribu']",video nasihat pakar bitcoin gagal tembus puncak usd ribu
pertumbuhan ekonomi makassar lampaui sulsel dan nasional,Ekonomi,"['pertumbuhan', 'ekonomi', 'makassar', 'lampaui', 'sulsel', 'nasional']",tumbuh ekonomi makassar lampau sulsel nasional
ri makin ramah investor asing dulu  sektor dilarang kini cuma ,Ekonomi,"['ri', 'ramah', 'investor', 'asing', 'sektor', 'dilarang']",ri ramah investor asing sektor larang
dolar as perkasa pagi ini menguat ke level ,Ekonomi,"['dolar', 'as', 'perkasa', 'pagi', 'menguat', 'level']",dolar as perkasa pagi kuat level
rakyat bisa makin susah jika ppn naik jadi ,Ekonomi,"['rakyat', 'susah', 'ppn']",rakyat susah ppn
 contoh soal ekonomi kelas  kurikulum merdeka dan kunci jawabannya,Ekonomi,"['contoh', 'ekonomi', 'kelas', 'kurikulum', 'merdeka', 'kunci', 'jawabannya']",contoh ekonomi kelas kurikulum merdeka kunci jawab
dolar as awal pekan ini melemah ke level rp ,Ekonomi,"['dolar', 'as', 'pekan', 'melemah', 'level', 'rp']",dolar as pekan lemah level rp
 contoh teks editorial tentang pendidikan kesehatan dan ekonomi,Ekonomi,"['contoh', 'teks', 'editorial', 'pendidikan', 'kesehatan', 'ekonomi']",contoh teks editorial didik sehat ekonomi
video hashim soal prabowo targetkan ekonomi ri  saya yakin bisa ,Ekonomi,"['video', 'hashim', 'prabowo', 'targetkan', 'ekonomi', 'ri']",video hashim prabowo target ekonomi ri
video prabowo soal ri mau masuk brics dan oecd kita cari yang terbaik,Ekonomi,"['video', 'prabowo', 'ri', 'masuk', 'brics', 'oecd', 'cari', 'terbaik']",video prabowo ri masuk brics oecd cari baik
jurus jitu bupati yuni bangkitkan ekonomi sragen pascapandemi covid,Ekonomi,"['jurus', 'jitu', 'bupati', 'yuni', 'bangkitkan', 'ekonomi', 'sragen', 'pascapandemi', 'covid']",jurus jitu bupati yuni bangkit ekonomi sragen pascapandemi covid
dolar as kian perkasa,Ekonomi,"['dolar', 'as', 'kian', 'perkasa']",dolar as kian perkasa
sri mulyani bukabukaan dampak trump menang pilpres as ke ekonomi,Ekonomi,"['sri', 'mulyani', 'bukabukaan', 'dampak', 'trump', 'menang', 'pilpres', 'as', 'ekonomi']",sri mulyani bukabukaan dampak trump menang pilpres as ekonomi
trump menang pemilu as ihsg ditutup anjlok ,Ekonomi,"['trump', 'menang', 'pemilu', 'as', 'ihsg', 'ditutup', 'anjlok']",trump menang milu as ihsg tutup anjlok
ekonomi ri triwulan iii tumbuh  bisa tembus  tahun ini,Ekonomi,"['ekonomi', 'ri', 'triwulan', 'iii', 'tumbuh', 'tembus']",ekonomi ri triwulan iii tumbuh tembus
ekonomi triwulan iii turun pemerintah yakin akhir tahun balik ke ,Ekonomi,"['ekonomi', 'triwulan', 'iii', 'turun', 'pemerintah']",ekonomi triwulan iii turun perintah
bank mandiri perkuat komitmen layanan inklusif demi ekonomi berkelanjutan,Ekonomi,"['bank', 'mandiri', 'perkuat', 'komitmen', 'layanan', 'inklusif', 'ekonomi', 'berkelanjutan']",bank mandiri kuat komitmen layan inklusif ekonomi lanjut
phk paradoks pertumbuhan ekonomi dan kekuatan konsumsi masyarakat,Ekonomi,"['phk', 'paradoks', 'pertumbuhan', 'ekonomi', 'kekuatan', 'konsumsi', 'masyarakat']",phk paradoks tumbuh ekonomi kuat konsumsi masyarakat
sritex raksasa tua yang tidak boleh mati,Ekonomi,"['sritex', 'raksasa', 'tua', 'mati']",sritex raksasa tua mati
apa itu barang ekonomi ini contoh dan perbedaan dengan barang bebas,Ekonomi,"['barang', 'ekonomi', 'contoh', 'perbedaan', 'barang', 'bebas']",barang ekonomi contoh beda barang bebas
debat cagub jakarta dari beras ke sagu hingga bangun disneyland,Ekonomi,"['debat', 'cagub', 'jakarta', 'beras', 'sagu', 'bangun', 'disneyland']",debat cagub jakarta beras sagu bangun disneyland
apa itu pailit dan kepailitan ini perbedaannya dengan bangkrut,Ekonomi,"['pailit', 'kepailitan', 'perbedaannya', 'bangkrut']",pailit pailit beda bangkrut
proyeksi terbaru imf pertumbuhan ekonomi era prabowogibran mentok ,Ekonomi,"['proyeksi', 'terbaru', 'imf', 'pertumbuhan', 'ekonomi', 'era', 'prabowogibran', 'mentok']",proyeksi baru imf tumbuh ekonomi era prabowogibran mentok
ini beda perekonomian israel dan iran usai terdampak perang,Ekonomi,"['beda', 'perekonomian', 'israel', 'iran', 'terdampak', 'perang']",beda ekonomi israel iran dampak perang
kemenag sukses dorong kemandirian ekonomi pesantren,Ekonomi,"['kemenag', 'sukses', 'dorong', 'kemandirian', 'ekonomi', 'pesantren']",kemenag sukses dorong mandiri ekonomi pesantren
 negara terkaya dan termiskin di dunia ,Ekonomi,"['negara', 'terkaya', 'termiskin', 'dunia']",negara kaya miskin dunia
jurus prabowo genjot ekonomi ri tembus ,Ekonomi,"['jurus', 'prabowo', 'genjot', 'ekonomi', 'ri', 'tembus']",jurus prabowo genjot ekonomi ri tembus
investasi di sumenep meningkat di era bupati achmad fauzi,Ekonomi,"['investasi', 'sumenep', 'meningkat', 'era', 'bupati', 'achmad', 'fauzi']",investasi sumenep tingkat era bupati achmad fauzi
jokowi bicara soal pertumbuhan ekonomi ri di era prabowo,Ekonomi,"['jokowi', 'bicara', 'pertumbuhan', 'ekonomi', 'ri', 'era', 'prabowo']",jokowi bicara tumbuh ekonomi ri era prabowo
ri bisa jadi negara superpower bareng indiachina jokowi ungkap caranya,Ekonomi,"['ri', 'negara', 'superpower', 'bareng', 'indiachina', 'jokowi']",ri negara superpower bareng indiachina jokowi
apa itu barang illith begini arti dan contoh dalam kehidupan seharihari,Ekonomi,"['barang', 'illith', 'arti', 'contoh', 'kehidupan', 'seharihari']",barang illith arti contoh hidup seharihari
indonesia masuk  besar negara penghasil emas terbesar dunia,Ekonomi,"['indonesia', 'masuk', 'negara', 'penghasil', 'emas', 'terbesar', 'dunia']",indonesia masuk negara hasil emas besar dunia
ungkap kondisi ngeri dunia saat ini prabowo bersyukur indonesia damai,Ekonomi,"['kondisi', 'ngeri', 'dunia', 'prabowo', 'bersyukur', 'indonesia', 'damai']",kondisi ngeri dunia prabowo syukur indonesia damai
banyak warga desa di jepang pindah ke kota begini cara biar tak terjadi di ri,Ekonomi,"['warga', 'desa', 'jepang', 'pindah', 'kota', 'biar', 'ri']",warga desa jepang pindah kota biar ri
kolaborasi bumnakademia dinilai bisa jaga keseimbangan ekonomilingkungan,Ekonomi,"['kolaborasi', 'bumnakademia', 'dinilai', 'jaga', 'keseimbangan', 'ekonomilingkungan']",kolaborasi bumnakademia nilai jaga imbang ekonomilingkungan
prediksi jokowi ri bakal jadi negara ekonomi besar dunia bareng china  india,Ekonomi,"['prediksi', 'jokowi', 'ri', 'negara', 'ekonomi', 'dunia', 'bareng', 'china', 'india']",prediksi jokowi ri negara ekonomi dunia bareng china india
jokowi sebut pendapatan per kapita ri bisa rp  jutatahun asal ekonomi ,Ekonomi,"['jokowi', 'pendapatan', 'kapita', 'ri', 'rp', 'jutatahun', 'ekonomi']",jokowi dapat kapita ri rp jutatahun ekonomi
kegiatan konsumsi pengertian tujuan ciri dan contoh,Ekonomi,"['kegiatan', 'konsumsi', 'pengertian', 'tujuan', 'ciri', 'contoh']",giat konsumsi erti tuju ciri contoh
pesan ketum kadin buat prabowo kita butuh pertumbuhan ekonomi ,Ekonomi,"['pesan', 'ketum', 'kadin', 'prabowo', 'butuh', 'pertumbuhan', 'ekonomi']",pesan tum kadin prabowo butuh tumbuh ekonomi
terapkan teknologi  produksi semen sig naik  turunkan emisi,Ekonomi,"['terapkan', 'teknologi', 'produksi', 'semen', 'sig', 'turunkan', 'emisi']",terap teknologi produksi semen sig turun emisi
konflik timur tengah guncang ekonomi dunia ri mesti waspada,Ekonomi,"['konflik', 'timur', 'guncang', 'ekonomi', 'dunia', 'ri', 'mesti', 'waspada']",konflik timur guncang ekonomi dunia ri mesti waspada
mau jajal bisnis waralaba ada pameran franchise digelar bulan ini,Ekonomi,"['jajal', 'bisnis', 'waralaba', 'pameran', 'franchise', 'digelar']",jajal bisnis waralaba pamer franchise gelar
perang di timur tengah bisa jadi ancaman buat ekonomi ri,Ekonomi,"['perang', 'timur', 'ancaman', 'ekonomi', 'ri']",perang timur ancam ekonomi ri
 contoh barang bebas beserta pengertiannya,Ekonomi,"['contoh', 'barang', 'bebas', 'beserta', 'pengertiannya']",contoh barang bebas serta erti
kutip kisah rasulullah rais aam pbnu ingatkan pelaku ekonomi bersikap saleh,Ekonomi,"['kutip', 'kisah', 'rasulullah', 'rais', 'aam', 'pbnu', 'ingatkan', 'pelaku', 'ekonomi', 'bersikap', 'saleh']",kutip kisah rasulullah rais aam pbnu ingat laku ekonomi sikap saleh
rapuhnya jaring pengaman ekonomi kelas menengah,Ekonomi,"['rapuhnya', 'jaring', 'pengaman', 'ekonomi', 'kelas', 'menengah']",rapuh jaring kam ekonomi kelas tengah
kala kelas menengah turun kasta,Ekonomi,"['kelas', 'menengah', 'turun', 'kasta']",kelas tengah turun kasta
terkuak jurus prabowo bikin ekonomi ri tembus ,Ekonomi,"['terkuak', 'jurus', 'prabowo', 'bikin', 'ekonomi', 'ri', 'tembus']",kuak jurus prabowo bikin ekonomi ri tembus
pengertian akuntansi tujuan dan siklus,Ekonomi,"['pengertian', 'akuntansi', 'tujuan', 'siklus']",erti akuntansi tuju siklus
pr besar prabowo yang ingin bawa ekonomi ri tembus ,Ekonomi,"['pr', 'prabowo', 'bawa', 'ekonomi', 'ri', 'tembus']",pr prabowo bawa ekonomi ri tembus
aduh ada fenomena warga kelas bawah ri makan tabungan,Ekonomi,"['aduh', 'fenomena', 'warga', 'kelas', 'ri', 'makan', 'tabungan']",aduh fenomena warga kelas ri makan tabung
hukum penawaran pengertian faktor dan contoh dalam kehidupan seharihari,Ekonomi,"['hukum', 'penawaran', 'pengertian', 'faktor', 'contoh', 'kehidupan', 'seharihari']",hukum tawar erti faktor contoh hidup seharihari
jokowi jamin ekonomi kaltim meroket gegara ikn,Ekonomi,"['jokowi', 'jamin', 'ekonomi', 'kaltim', 'meroket', 'gegara', 'ikn']",jokowi jamin ekonomi kaltim roket gegara ikn
wamenkeu ungkap isi obrolan dengan prabowo soal ekonomi tumbuh ,Ekonomi,"['wamenkeu', 'isi', 'obrolan', 'prabowo', 'ekonomi', 'tumbuh']",wamenkeu isi obrol prabowo ekonomi tumbuh
sri mulyani sentil keras pemda uang transfer dari pusat nganggur di bank,Ekonomi,"['sri', 'mulyani', 'sentil', 'keras', 'pemda', 'uang', 'transfer', 'pusat', 'nganggur', 'bank']",sri mulyani sentil keras pemda uang transfer pusat nganggur bank
sederet pr indonesia jika mau jadi negara maju,Ekonomi,"['sederet', 'pr', 'indonesia', 'negara', 'maju']",deret pr indonesia negara maju
menengok situasi ekonomi ri jelang ditinggal jokowi,Ekonomi,"['menengok', 'situasi', 'ekonomi', 'ri', 'jelang', 'ditinggal', 'jokowi']",tengok situasi ekonomi ri jelang tinggal jokowi
darti memilih bertahan di tengah lesunya bisnis kerajinan kerang laut,Ekonomi,"['darti', 'memilih', 'bertahan', 'lesunya', 'bisnis', 'kerajinan', 'kerang', 'laut']",darti pilih tahan lesu bisnis rajin kerang laut
sri mulyani sampaikan ada kabar baik  buruk soal ekonomi dunia apa itu,Ekonomi,"['sri', 'mulyani', 'kabar', 'buruk', 'ekonomi', 'dunia']",sri mulyani kabar buruk ekonomi dunia
ini dia masalah baru dunia yang diungkap sri mulyani,Ekonomi,"['dunia', 'diungkap', 'sri', 'mulyani']",dunia ungkap sri mulyani
gig economy pisau bermata dua di dunia kerja,Ekonomi,"['gig', 'economy', 'pisau', 'bermata', 'dunia', 'kerja']",gig economy pisau mata dunia kerja
sri mulyani ungkap ada masalah baru di dunia apa itu,Ekonomi,"['sri', 'mulyani', 'dunia']",sri mulyani dunia
apa itu audit pengertian jenis dan tujuan,Ekonomi,"['audit', 'pengertian', 'jenis', 'tujuan']",audit erti jenis tuju
duh wanita ini rela kelaparan agar kucingnya bisa makan,Ekonomi,"['duh', 'wanita', 'rela', 'kelaparan', 'kucingnya', 'makan']",duh wanita rela lapar kucing makan
momen sri mulyani bertemu prabowo bahas kondisi apbn,Ekonomi,"['momen', 'sri', 'mulyani', 'bertemu', 'prabowo', 'bahas', 'kondisi', 'apbn']",momen sri mulyani temu prabowo bahas kondisi apbn
ri mau geber pertumbuhan ekonomi ini pr buat pemerintahan baru,Ekonomi,"['ri', 'geber', 'pertumbuhan', 'ekonomi', 'pr', 'pemerintahan']",ri geber tumbuh ekonomi pr perintah
dampak pandemi covid terhadap ekonomi digital ri,Ekonomi,"['dampak', 'pandemi', 'covid', 'ekonomi', 'digital', 'ri']",dampak pandemi covid ekonomi digital ri
pemanfaatan ruang laut dinilai berkontribusi genjot pertumbuhan ekonomi ,Ekonomi,"['pemanfaatan', 'ruang', 'laut', 'dinilai', 'berkontribusi', 'genjot', 'pertumbuhan', 'ekonomi']",manfaat ruang laut nilai kontribusi genjot tumbuh ekonomi
siapa saja kelas menengah di indonesia ini datanya,Ekonomi,"['kelas', 'menengah', 'indonesia', 'datanya']",kelas tengah indonesia data
pon xxi dinilai dongkrak ekonomi acehsumut pemda diminta lakukan ini,Ekonomi,"['pon', 'xxi', 'dinilai', 'dongkrak', 'ekonomi', 'acehsumut', 'pemda', 'lakukan']",pon xxi nilai dongkrak ekonomi acehsumut pemda laku
bulan depan ka menoreh jadi kereta ekonomi rasa eksekutif nih,Ekonomi,"['ka', 'menoreh', 'kereta', 'ekonomi', 'eksekutif', 'nih']",ka toreh kereta ekonomi eksekutif nih
populasi manusia diperkirakan akan turun pada masa depan bagus untuk lingkungan,Ekonomi,"['populasi', 'manusia', 'turun', 'bagus', 'lingkungan']",populasi manusia turun bagus lingkung
bi gandeng bkpm perkuat perizinan ekonomi keuangan,Ekonomi,"['bi', 'gandeng', 'bkpm', 'perkuat', 'perizinan', 'ekonomi', 'keuangan']",bi gandeng bkpm kuat izin ekonomi uang
sri mulyani ngajar di feb ui ilmu ekonomi adalah ilmu mengelola rumah tangga,Ekonomi,"['sri', 'mulyani', 'ngajar', 'feb', 'ui', 'ilmu', 'ekonomi', 'ilmu', 'mengelola', 'rumah', 'tangga']",sri mulyani ngajar feb ui ilmu ekonomi ilmu kelola rumah tangga
pj gubernur jatim target kemiskinan ekstrem capai  akhir ,Ekonomi,"['pj', 'gubernur', 'jatim', 'target', 'kemiskinan', 'ekstrem', 'capai']",pj gubernur jatim target miskin ekstrem capai
apa itu umkm definisi kriteria dan jenisnya,Ekonomi,"['umkm', 'definisi', 'kriteria', 'jenisnya']",umkm definisi kriteria jenis
as diprediksi masuk jurang resesi ini biang keroknya,Ekonomi,"['as', 'diprediksi', 'masuk', 'jurang', 'resesi', 'biang', 'keroknya']",as prediksi masuk jurang resesi biang kerok
sentilansentilan megawati soal kondisi ekonomi ri,Ekonomi,"['sentilansentilan', 'megawati', 'kondisi', 'ekonomi', 'ri']",sentilansentilan megawati kondisi ekonomi ri
apa tujuan dari mempelajari ilmu ekonomi ini penjelasannya,Ekonomi,"['tujuan', 'mempelajari', 'ilmu', 'ekonomi', 'penjelasannya']",tuju ajar ilmu ekonomi jelas
ada demo besar di dpr ekonom wantiwanti hal ini ke pemerintah,Ekonomi,"['demo', 'dpr', 'ekonom', 'wantiwanti', 'pemerintah']",demo dpr ekonom wantiwanti perintah
pengertian kebijakan moneter dan perbedaannya dengan kebijakan fiskal,Ekonomi,"['pengertian', 'kebijakan', 'moneter', 'perbedaannya', 'kebijakan', 'fiskal']",erti bijak moneter beda bijak fiskal
puluhan ribu pengunjung wjf  bakal gerakkan perekonomian jabar,Ekonomi,"['puluhan', 'ribu', 'pengunjung', 'wjf', 'gerakkan', 'perekonomian', 'jabar']",puluh ribu unjung wjf gerak ekonomi jabar
rumah indonesia luncurkan aplikasi ramah indonesia sebagai ruang kolaborasi,Ekonomi,"['rumah', 'indonesia', 'luncurkan', 'aplikasi', 'ramah', 'indonesia', 'ruang', 'kolaborasi']",rumah indonesia luncur aplikasi ramah indonesia ruang kolaborasi
mengetahui sejarah ekonomi indonesia sebelum kemerdekaan,Ekonomi,"['sejarah', 'ekonomi', 'indonesia', 'kemerdekaan']",sejarah ekonomi indonesia merdeka
luhut dorong proyek infrastruktur pakai semen hijau bisa kurangi emisi,Ekonomi,"['luhut', 'dorong', 'proyek', 'infrastruktur', 'pakai', 'semen', 'hijau', 'kurangi', 'emisi']",luhut dorong proyek infrastruktur pakai semen hijau kurang emisi
begini kondisi ekonomi dan kas negara di awal kemerdekaan ri,Ekonomi,"['kondisi', 'ekonomi', 'kas', 'negara', 'kemerdekaan', 'ri']",kondisi ekonomi kas negara merdeka ri
banyak warga kelas menengah ri makan tabungan sampai kehabisan uang,Ekonomi,"['warga', 'kelas', 'menengah', 'ri', 'makan', 'tabungan', 'kehabisan', 'uang']",warga kelas tengah ri makan tabung habis uang
 juta warga kelas menengah ri turun kasta,Ekonomi,"['juta', 'warga', 'kelas', 'menengah', 'ri', 'turun', 'kasta']",juta warga kelas tengah ri turun kasta
imf ramal ekonomi ri tahun    masih betah di level ,Ekonomi,"['imf', 'ramal', 'ekonomi', 'ri', 'betah', 'level']",imf ramal ekonomi ri betah level
begini peran perempuan dorong pertumbuhan umkm dan ciptakan nilai tambah,Ekonomi,"['peran', 'perempuan', 'dorong', 'pertumbuhan', 'umkm', 'ciptakan', 'nilai']",peran perempuan dorong tumbuh umkm cipta nilai
raksasa energi abu dhabi mau bikin kebun matahari di ikn,Ekonomi,"['raksasa', 'energi', 'abu', 'dhabi', 'bikin', 'kebun', 'matahari', 'ikn']",raksasa energi abu dhabi bikin kebun matahari ikn
jurus adhi karya dorong pembangunan berkelanjutan lewat metode r,Ekonomi,"['jurus', 'adhi', 'karya', 'dorong', 'pembangunan', 'berkelanjutan', 'metode', 'r']",jurus adhi karya dorong bangun lanjut metode r
 siswa ri sabet medali perakperunggu di ajang olimpiade ekonomi internasional ,Ekonomi,"['siswa', 'ri', 'sabet', 'medali', 'perakperunggu', 'ajang', 'olimpiade', 'ekonomi', 'internasional']",siswa ri sabet medali perakperunggu ajang olimpiade ekonomi internasional
seperti ini ekonomi iran yang mau balas dendam ke israel,Ekonomi,"['ekonomi', 'iran', 'balas', 'dendam', 'israel']",ekonomi iran balas dendam israel
desa binaan phe mampu hasilkan listrik dari  sumber energi terbarukan,Ekonomi,"['desa', 'binaan', 'phe', 'hasilkan', 'listrik', 'sumber', 'energi', 'terbarukan']",desa bina phe hasil listrik sumber energi baru
bos bi yakin ekonomi global masih tumbuh subur ini syaratnya,Ekonomi,"['bos', 'bi', 'ekonomi', 'global', 'tumbuh', 'subur', 'syaratnya']",bos bi ekonomi global tumbuh subur syarat
kelas menengah pengertian sejarah kemunculan di indonesia klasifikasi jumlahnya,Ekonomi,"['kelas', 'menengah', 'pengertian', 'sejarah', 'kemunculan', 'indonesia', 'klasifikasi']",kelas tengah erti sejarah muncul indonesia klasifikasi
world bank apresiasi pertumbuhan ekonomi ri yang stabil di atas  persen,Ekonomi,"['world', 'bank', 'apresiasi', 'pertumbuhan', 'ekonomi', 'ri', 'stabil', 'persen']",world bank apresiasi tumbuh ekonomi ri stabil persen
ai bisa bikin ekonomi digital makin moncer bagaimana caranya,Ekonomi,"['ai', 'bikin', 'ekonomi', 'digital', 'moncer']",ai bikin ekonomi digital moncer
 pengertian ekonomi menurut para ahli dan tujuannya,Ekonomi,"['pengertian', 'ekonomi', 'ahli', 'tujuannya']",erti ekonomi ahli tuju
populer di kalangan genz pakar unair ingatkan risiko penggunaan paylater,Ekonomi,"['populer', 'kalangan', 'genz', 'pakar', 'unair', 'ingatkan', 'risiko', 'penggunaan', 'paylater']",populer kalang genz pakar unair ingat risiko guna paylater
sepak terjang hamzah haz agar ri keluar dari jerat utang imf,Ekonomi,"['sepak', 'terjang', 'hamzah', 'haz', 'ri', 'jerat', 'utang', 'imf']",sepak terjang hamzah haz ri jerat utang imf
begini peran umkm buat geber perekonomian ri,Ekonomi,"['peran', 'umkm', 'geber', 'perekonomian', 'ri']",peran umkm geber ekonomi ri
menko perekonomian airlangga family office masih belajar,Ekonomi,"['menko', 'perekonomian', 'airlangga', 'family', 'office', 'belajar']",menko ekonomi airlangga family office ajar
airlangga jakarta sudah lolos middle income trap,Ekonomi,"['airlangga', 'jakarta', 'lolos', 'middle', 'income', 'trap']",airlangga jakarta lolos middle income trap
industri tembakau disebut punya peran besar penggerak ekonomi di daerah,Ekonomi,"['industri', 'tembakau', 'peran', 'penggerak', 'ekonomi', 'daerah']",industri tembakau peran gerak ekonomi daerah
pengusaha ri dorong pembangunan ekonomi berkelanjutan begini caranya,Ekonomi,"['pengusaha', 'ri', 'dorong', 'pembangunan', 'ekonomi', 'berkelanjutan']",usaha ri dorong bangun ekonomi lanjut
gantikan jokowi luncurkan geoportal prabowo saya sedang dilatih biar nggak kaget,Ekonomi,"['gantikan', 'jokowi', 'luncurkan', 'geoportal', 'prabowo', 'dilatih', 'biar', 'nggak', 'kaget']",ganti jokowi luncur geoportal prabowo latih biar nggak kaget
begini ramalan pemprov soal ekonomi jakarta usai ibu kota pindah ke ikn,Ekonomi,"['ramalan', 'pemprov', 'ekonomi', 'jakarta', 'kota', 'pindah', 'ikn']",ramal pemprov ekonomi jakarta kota pindah ikn
pln gandeng sig percepat transisi energi ke ebt,Ekonomi,"['pln', 'gandeng', 'sig', 'percepat', 'transisi', 'energi', 'ebt']",pln gandeng sig cepat transisi energi ebt
mendagri pede ri jadi ekonomi ke di dunia  singgung kesuksesan china,Ekonomi,"['mendagri', 'pede', 'ri', 'ekonomi', 'dunia', 'singgung', 'kesuksesan', 'china']",mendagri pede ri ekonomi dunia singgung sukses china
sri mulyani pede ekonomi ri tumbuh di atas  semester i,Ekonomi,"['sri', 'mulyani', 'pede', 'ekonomi', 'ri', 'tumbuh', 'semester', 'i']",sri mulyani pede ekonomi ri tumbuh semester i
sri mulyani ekonomi global stagnan lemah inflasi keras kepala belum turun,Ekonomi,"['sri', 'mulyani', 'ekonomi', 'global', 'stagnan', 'lemah', 'inflasi', 'keras', 'kepala', 'turun']",sri mulyani ekonomi global stagnan lemah inflasi keras kepala turun
target pertumbuhan ekonomi di rkprapbn  beda ini penjelasan sri mulyani,Ekonomi,"['target', 'pertumbuhan', 'ekonomi', 'rkprapbn', 'beda', 'penjelasan', 'sri', 'mulyani']",target tumbuh ekonomi rkprapbn beda jelas sri mulyani
ekonomi ri bisa terguncang garagara hal ini,Ekonomi,"['ekonomi', 'ri', 'terguncang', 'garagara']",ekonomi ri guncang garagara
ekonomi sulbar capai  pj gubernur apresiasi pemda hingga umkm,Ekonomi,"['ekonomi', 'sulbar', 'capai', 'pj', 'gubernur', 'apresiasi', 'pemda', 'umkm']",ekonomi sulbar capai pj gubernur apresiasi pemda umkm
 mata uang terendah di dunia rupiah indonesia termasuk,Ekonomi,"['mata', 'uang', 'terendah', 'dunia', 'rupiah', 'indonesia']",mata uang rendah dunia rupiah indonesia
menilik tata kelola bpdlh,Ekonomi,"['menilik', 'tata', 'kelola', 'bpdlh']",tilik tata kelola bpdlh
 negara terkaya di asia tenggara tahun  indonesia nomor berapa,Ekonomi,"['negara', 'terkaya', 'asia', 'tenggara', 'indonesia', 'nomor']",negara kaya asia tenggara indonesia nomor
